"","name","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","num"
"1","Abilene Christian University",NA,2.29007634,2.5,3.81679389,3.81679389,3.52112676,4.37956204,3.57142857,3.87596899,3.81679389,5
"2","Angelo State University",0.85470085,0.81967213,0.86956522,0.85470085,1.63934426,2.45901639,4.06504065,4.5112782,3.64963504,6.66666667,9
"3","Austin College",1.49253731,1.44927536,1.38888889,1.35135135,NA,1.4084507,1.5625,1.49253731,1.49253731,1.49253731,1
"4","Baylor University",1.67464115,1.68674699,1.67064439,1.70940171,1.67714885,1.84804928,2.19123506,2.30326296,2.31660232,2.29007634,12
"5","Brazosport College",NA,3.57142857,NA,3.63636364,NA,3.33333333,3.57142857,3.92156863,4.44444444,5.12820513,2
"6","Concordia University Texas",NA,0,0,0,0,0,0,7.69230769,0,0,0
"7","East Texas Baptist University",0,0,0,0,0,0,0,0,0,0,0
"8","Hardin-Simmons University",0,0,0,0.91743119,NA,0,0.98039216,2.02020202,2.15053763,2.85714286,2
"9","Howard Payne University",0,0,NA,0,NA,0,0,0,0,0,0
"10","Huston-Tillotson University",66.6666667,55.5555556,55.5555556,55.5555556,55.5555556,50,45.4545455,45.4545455,50,46.6666667,7
"11","Jarvis Christian College",50,40,NA,40,33.3333333,42.8571429,28.5714286,50,40,40,2
"12","Lamar University",NA,2.92682927,NA,2.40384615,NA,2.66666667,3.31753555,3.80952381,5.33980583,5.36585366,11
"13","LeTourneau University",NA,0,0,0,NA,0,0,2.5,4.76190476,2.17391304,1
"14","Lubbock Christian University",0,0,0,0,0,0,0,0,0,0,0
"15","McMurry University",0,0,0,0,0,0,0,0,0,0,0
"16","Midwestern State University",1.81818182,0.84745763,0.90909091,0.88495575,1.8018018,0.91743119,0.90909091,0.86956522,0.86956522,0.81967213,1
"17","Our Lady of the Lake University",NA,7.69230769,NA,6.06060606,5.88235294,5.40540541,5.40540541,2.5,5.26315789,2.7027027,1
"18","Prairie View A & M University",53.1468531,54.7297297,53.1468531,53.7313433,53.030303,51.8796992,53.6585366,54.3478261,53.125,55.3956835,77
