name,tenured_total,ind_tenured,ind_men_tenured,ind_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,pi_tenured,pi_men_tenured,pi_women_tenured,white_tenured,white_men_tenured,white_women_tenured,multi_tenured,multi_men_tenured,multi_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,ind_student,ind_men_student,ind_women_student,asian_student,asian_men_student,asian_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,pi_student,pi_men_student,pi_women_student,white_student,white_men_student,white_women_student,multi_student,multi_men_student,multi_women_student,unknown_student,unknown_men_student,unknown_women_student
ABC Beauty Academy,,,,,,,,,,,,,,,,,,,,,,,,,,48,0,0,0,40,6,34,1,0,1,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0
Abilene Christian University,120,0,0,0,1,0,1,3,3,0,4,2,2,0,0,0,108,85,23,3,2,1,0,0,0,3626,12,7,5,34,12,22,249,130,119,357,154,203,3,1,2,2677,1164,1513,114,45,69,5,3,2
Academy of Hair Design-Beaumont,,,,,,,,,,,,,,,,,,,,,,,,,,86,0,0,0,7,0,7,30,2,28,8,0,8,0,0,0,41,3,38,0,0,0,0,0,0
Academy of Hair Design-Jasper,,,,,,,,,,,,,,,,,,,,,,,,,,57,0,0,0,0,0,0,26,1,25,6,0,6,0,0,0,25,4,21,0,0,0,0,0,0
Academy of Hair Design-Lufkin,,,,,,,,,,,,,,,,,,,,,,,,,,107,0,0,0,2,0,2,40,17,23,18,5,13,0,0,0,47,11,36,0,0,0,0,0,0
Advanced Barber College and Hair Design,,,,,,,,,,,,,,,,,,,,,,,,,,96,0,0,0,0,0,0,0,0,0,96,51,45,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Beauty College,,,,,,,,,,,,,,,,,,,,,,,,,,96,0,0,0,48,4,44,2,0,2,17,0,17,0,0,0,1,0,1,0,0,0,0,0,0
Alamo City Barber College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamo Community College District Central Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allgood Beauty Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altierus Career College-Bissonnet,,,,,,,,,,,,,,,,,,,,,,,,,,908,4,2,2,21,13,8,508,286,222,270,159,111,2,2,0,71,44,27,4,2,2,28,13,15
Alvin Community College,68,0,0,0,0,0,0,1,1,0,3,2,1,0,0,0,64,31,33,0,0,0,0,0,0,5109,24,14,10,227,90,137,514,209,305,1416,594,822,16,9,7,2829,1193,1636,2,1,1,81,30,51
Amarillo College,71,0,0,0,3,2,1,0,0,0,1,1,0,0,0,0,65,29,36,0,0,0,2,2,0,11530,153,65,88,311,114,197,564,242,322,3954,1440,2514,0,0,0,6391,2495,3896,0,0,0,157,67,90
Amberton University,,,,,,,,,,,,,,,,,,,,,,,,,,269,1,0,1,24,9,15,81,33,48,21,9,12,0,0,0,132,54,78,0,0,0,10,6,4
American College of Acupuncture and Oriental Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American InterContinental University-Houston,,,,,,,,,,,,,,,,,,,,,,,,,,429,3,1,2,11,8,3,159,66,93,58,24,34,0,0,0,23,13,10,5,2,3,169,72,97
Angelina College,,,,,,,,,,,,,,,,,,,,,,,,,,5442,26,7,19,41,17,24,762,222,540,966,348,618,3,1,2,3458,1296,2162,138,53,85,46,18,28
Angelo State University,115,3,2,1,4,3,1,1,1,0,6,3,3,0,0,0,101,69,32,0,0,0,0,0,0,5918,32,12,20,63,28,35,504,276,228,1702,738,964,9,6,3,3327,1542,1785,112,44,68,30,11,19
Ann Webb Skin Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOMA Graduate School of Integrative Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona College-Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington Baptist University,,,,,,,,,,,,,,,,,,,,,,,,,,237,4,2,2,1,1,0,40,30,10,32,28,4,0,0,0,158,94,64,0,0,0,0,0,0
Arlington Career Institute,,,,,,,,,,,,,,,,,,,,,,,,,,263,0,0,0,2,1,1,88,11,77,86,3,83,0,0,0,86,10,76,0,0,0,1,0,1
Astrodome Career Centers,,,,,,,,,,,,,,,,,,,,,,,,,,64,0,0,0,1,0,1,4,0,4,57,1,56,0,0,0,2,0,2,0,0,0,0,0,0
Auguste Escoffier School of Culinary Arts-Austin,,,,,,,,,,,,,,,,,,,,,,,,,,91,2,1,1,2,0,2,7,5,2,30,8,22,0,0,0,46,19,27,0,0,0,4,1,3
Austin College,72,1,1,0,0,0,0,1,0,1,4,1,3,0,0,0,65,50,15,0,0,0,0,0,0,1242,6,2,4,164,81,83,53,28,25,153,58,95,1,0,1,786,389,397,49,25,24,10,7,3
Austin Community College District,,,,,,,,,,,,,,,,,,,,,,,,,,43315,347,163,184,2046,899,1147,3418,1381,2037,12276,5216,7060,67,30,37,20767,9461,11306,647,287,360,2579,1166,1413
Austin Graduate School of Theology,,,,,,,,,,,,,,,,,,,,,,,,,,38,1,1,0,0,0,0,16,10,6,4,3,1,0,0,0,15,12,3,1,0,1,1,1,0
Austin Presbyterian Theological Seminary,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Aveda Arts & Sciences Institute-San Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,309,0,0,0,1,0,1,11,0,11,196,9,187,0,0,0,90,3,87,2,0,2,9,0,9
Avenue Five Institute,,,,,,,,,,,,,,,,,,,,,,,,,,241,1,0,1,1,0,1,15,1,14,37,3,34,0,0,0,135,11,124,25,2,23,24,5,19
Avenue Five Institute-South Austin Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviation Institute of Maintenance-Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,448,6,6,0,20,20,0,162,154,8,98,94,4,1,1,0,130,119,11,16,15,1,13,12,1
Aviation Institute of Maintenance-Houston,,,,,,,,,,,,,,,,,,,,,,,,,,262,0,0,0,11,11,0,53,47,6,95,90,5,0,0,0,82,80,2,20,19,1,1,1,0
Bakke Graduate University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin Beauty School-North Austin,,,,,,,,,,,,,,,,,,,,,,,,,,107,1,0,1,7,0,7,8,1,7,17,1,16,0,0,0,72,5,67,0,0,0,2,0,2
Baldwin Beauty School-South Austin,,,,,,,,,,,,,,,,,,,,,,,,,,70,0,0,0,0,0,0,0,0,0,27,1,26,0,0,0,42,3,39,0,0,0,1,0,1
Baptist Health System School of Health Professions,,,,,,,,,,,,,,,,,,,,,,,,,,450,3,2,1,19,5,14,17,3,14,190,42,148,3,0,3,208,37,171,3,1,2,5,3,2
Baptist Missionary Association Theological Seminary,,,,,,,,,,,,,,,,,,,,,,,,,,55,0,0,0,0,0,0,28,20,8,1,1,0,0,0,0,24,22,2,0,0,0,2,2,0
Baptist University of the Americas,,,,,,,,,,,,,,,,,,,,,,,,,,198,0,0,0,4,1,3,9,9,0,169,96,73,0,0,0,11,6,5,5,1,4,0,0,0
Barber Institute of Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor College of Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor University,419,1,1,0,16,13,3,7,4,3,13,11,2,1,1,0,361,277,84,10,8,2,4,4,0,12918,44,17,27,814,358,456,955,346,609,1798,706,1092,4,2,2,8326,3486,4840,592,226,366,23,12,11
Bella Cosmetology College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK Cosmo College of Cosmetology,,,,,,,,,,,,,,,,,,,,,,,,,,56,0,0,0,0,0,0,0,0,0,15,1,14,0,0,0,41,5,36,0,0,0,0,0,0
Blinn College,,,,,,,,,,,,,,,,,,,,,,,,,,17839,76,35,41,373,202,171,1748,831,917,3416,1565,1851,28,15,13,11592,5629,5963,348,162,186,258,133,125
Brazosport College,,,,,,,,,,,,,,,,,,,,,,,,,,4047,10,7,3,39,16,23,284,124,160,1389,698,691,2,1,1,2139,1044,1095,128,60,68,56,49,7
Brite Divinity School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookhaven College,,,,,,,,,,,,,,,,,,,,,,,,,,12790,69,23,46,1434,653,781,2274,726,1548,4159,1712,2447,9,4,5,4205,1854,2351,116,45,71,481,218,263
Buckner Barber School,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,0,0,0,0,0,8,6,2,5,4,1,0,0,0,0,0,0,0,0,0,1,1,0
Careers Institute of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrington College-Mesquite,,,,,,,,,,,,,,,,,,,,,,,,,,179,0,0,0,1,0,1,41,7,34,82,5,77,0,0,0,50,2,48,3,0,3,2,0,2
CCI Training Center-Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,151,0,0,0,6,4,2,71,29,42,17,4,13,1,1,0,50,21,29,2,0,2,4,0,4
Cedar Valley College,,,,,,,,,,,,,,,,,,,,,,,,,,6403,23,5,18,119,49,70,3582,1312,2270,1258,554,704,3,1,2,1175,440,735,57,22,35,178,68,110
Center for Advanced Legal Studies,,,,,,,,,,,,,,,,,,,,,,,,,,128,0,0,0,5,2,3,30,4,26,37,5,32,0,0,0,54,5,49,0,0,0,2,0,2
Central Texas Beauty College-Round Rock,,,,,,,,,,,,,,,,,,,,,,,,,,165,0,0,0,32,13,19,20,4,16,65,3,62,1,0,1,42,3,39,5,2,3,0,0,0
Central Texas Beauty College-Temple,,,,,,,,,,,,,,,,,,,,,,,,,,114,0,0,0,15,4,11,0,0,0,45,2,43,0,0,0,54,0,54,0,0,0,0,0,0
Central Texas College,,,,,,,,,,,,,,,,,,,,,,,,,,22443,204,109,95,580,266,314,5996,2986,3010,3776,1868,1908,365,189,176,9418,5017,4401,601,328,273,1423,856,567
CET-El Paso,,,,,,,,,,,,,,,,,,,,,,,,,,121,0,0,0,0,0,0,2,2,0,116,99,17,0,0,0,3,3,0,0,0,0,0,0,0
