name,tenured_total,white_tenured,white_men_tenured,white_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,ind_tenured,ind_men_tenured,ind_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,white_student,white_men_student,white_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,asian_student,asian_men_student,asian_women_student,ind_student,ind_men_student,ind_women_student,unknown_student,unknown_men_student,unknown_women_student
Abilene Christian University,103,99,83,16,2,1,1,1,0,1,0,0,0,1,1,0,0,0,0,4234,3456,1568,1888,244,124,120,258,95,163,31,7,24,18,8,10,44,17,27
Alvin Community College,60,57,34,23,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,3671,2590,1108,1482,294,202,92,662,307,355,59,25,34,14,9,5,43,23,20
Amarillo College,83,79,41,38,2,0,2,0,0,0,1,1,0,1,0,1,0,0,0,8757,6328,2590,3738,301,101,200,1672,640,1032,225,101,124,79,34,45,150,53,97
Angelo State University,96,82,60,22,2,2,0,6,3,3,2,1,1,3,2,1,0,0,0,657,358,118,240,228,74,154,33,11,22,7,4,3,8,3,5,23,8,15
Austin College,62,61,47,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4671,3448,1314,2134,728,191,537,413,180,233,43,20,23,38,9,29,1,0,1
Austin Presbyterian Theological Seminary,7,5,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,5833,4222,1881,2341,305,149,156,1161,486,675,68,38,30,19,10,9,0,0,0
Baylor College of Medicine,306,265,213,52,2,2,0,11,8,3,26,17,9,0,0,0,0,0,0,240,208,125,83,3,2,1,14,11,3,2,2,0,0,0,0,0,0,0
Baylor University,385,365,269,96,3,2,1,10,8,2,4,3,1,1,1,0,1,1,0,237,126,1,125,54,1,53,50,1,49,1,0,1,1,0,1,5,0,5
Brazosport College,38,36,26,10,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1551,461,264,197,107,55,52,229,136,93,58,33,25,5,2,3,690,406,284
Cisco College,34,30,21,9,2,0,2,1,0,1,0,0,0,1,1,0,0,0,0,1227,941,411,530,57,29,28,85,39,46,105,42,63,9,3,6,0,0,0
Clarendon College,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29322,18204,8364,9840,1950,717,1233,6191,2741,3450,1818,847,971,270,165,105,414,186,228
Concordia University Texas,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,55,1,54,5,0,5,21,2,19,0,0,0,0,0,0,0,0,0
Texas A & M University-Corpus Christi,131,107,61,46,2,2,0,18,14,4,3,2,1,0,0,0,0,0,0,282,123,17,106,21,3,18,115,26,89,3,0,3,0,0,0,20,5,15
Dallas Baptist University,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,20,20,0,10,9,1,0,0,0,1,1,0,3,2,1,0,0,0
Dallas Theological Seminary,29,28,27,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12190,9377,3947,5430,682,231,451,907,388,519,616,291,325,61,27,34,317,148,169
University of Dallas,62,59,49,10,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,3259,1119,503,616,185,148,37,1899,725,1174,19,9,10,14,10,4,18,10,8
Del Mar College,185,132,70,62,6,1,5,40,18,22,6,4,2,1,1,0,0,0,0,12484,9850,4820,5030,964,447,517,1249,580,669,142,76,66,56,33,23,4,2,2
East Texas Baptist University,9,8,5,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,582,192,69,123,243,50,193,130,34,96,17,9,8,0,0,0,0,0,0
Texas A&M University-Texarkana,20,20,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,23,3,20,20,2,18,115,5,110,0,0,0,0,0,0,0,0,0
Texas A & M University-Commerce,106,96,71,25,6,3,3,2,1,1,2,1,1,0,0,0,0,0,0,4022,2678,1305,1373,308,133,175,937,502,435,50,18,32,26,16,10,12,7,5
El Paso Community College,224,116,61,55,7,0,7,98,54,44,3,2,1,0,0,0,0,0,0,9135,4663,1849,2814,1097,365,732,1747,702,1045,1006,463,543,58,26,32,201,97,104
Western Technical College,22,12,5,7,1,0,1,8,4,4,1,1,0,0,0,0,0,0,0,3967,1428,627,801,1998,740,1258,401,189,212,46,20,26,21,9,12,58,25,33
Western Technical College,16,5,5,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,15473,7280,4359,2921,4546,2364,2182,2184,1251,933,639,380,259,145,85,60,591,478,113
Episcopal Theological Seminary of the Southwest,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,25,1,24,13,0,13,10,0,10,1,0,1,0,0,0,0,0,0
Galveston College,27,25,16,9,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2716,1949,805,1144,294,178,116,387,169,218,33,21,12,19,9,10,0,0,0
Hardin-Simmons University,77,75,60,15,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,890,658,320,338,102,80,22,109,69,40,7,6,1,4,2,2,0,0,0
Hill College,10,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799,577,262,315,43,13,30,99,41,58,11,4,7,3,3,0,66,42,24
University of Houston-Clear Lake,125,105,72,33,1,1,0,6,2,4,13,9,4,0,0,0,0,0,0,52,34,1,33,1,0,1,17,0,17,0,0,0,0,0,0,0,0,0
Houston Community College,50,27,15,12,19,11,8,1,0,1,3,3,0,0,0,0,0,0,0,5178,4339,1800,2539,264,102,162,310,120,190,96,43,53,39,13,26,0,0,0
University of Houston-Downtown,67,50,39,11,5,3,2,3,3,0,9,7,2,0,0,0,0,0,0,5966,3400,1401,1999,145,55,90,2240,889,1351,107,50,57,23,5,18,0,0,0
University of Houston-Victoria,22,15,9,6,1,1,0,1,0,1,5,5,0,0,0,0,0,0,0,80,51,6,45,4,0,4,7,2,5,18,5,13,0,0,0,0,0,0
University of Houston,583,472,373,99,15,9,6,31,23,8,63,52,11,1,1,0,0,0,0,3340,1785,776,1009,681,151,530,251,107,144,45,19,26,96,29,67,292,118,174
Howard Payne University,9,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,207,108,99,44,24,20,20,13,7,1,1,0,3,2,1,1,0,1
Huston-Tillotson University,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,150,88,52,36,44,21,23,17,13,4,0,0,0,0,0,0,0,0,0
University of the Incarnate Word,57,49,20,29,0,0,0,6,4,2,1,1,0,0,0,0,0,0,0,1255,835,365,470,25,11,14,181,71,110,80,25,55,8,1,7,96,34,62
Jacksonville College-Main Campus,11,11,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10256,4271,1773,2498,261,105,156,5435,2207,3228,119,44,75,16,7,9,0,0,0
Jarvis Christian College,6,2,2,0,3,1,2,0,0,0,1,1,0,0,0,0,0,0,0,1509,1214,529,685,188,122,66,55,25,30,1,0,1,9,5,4,3,2,1
Lamar University,196,170,115,55,8,4,4,2,2,0,16,15,1,0,0,0,0,0,0,845,704,212,492,107,23,84,20,3,17,4,1,3,10,3,7,0,0,0
Lamar State College-Orange,19,17,7,10,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,4498,3421,1400,2021,714,294,420,226,98,128,42,20,22,53,21,32,0,0,0
Lamar State College-Port Arthur,34,32,7,25,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9002,4715,2066,2649,1855,550,1305,1733,741,992,475,248,227,48,14,34,113,46,67
Laredo College,118,43,23,20,1,1,0,70,45,25,4,1,3,0,0,0,0,0,0,4597,1384,499,885,1697,427,1270,1137,349,788,142,68,74,30,6,24,51,23,28
Texas A & M International University,48,29,22,7,1,1,0,13,8,5,3,1,2,1,1,0,0,0,0,20063,1981,865,1116,492,204,288,17057,6428,10629,160,69,91,120,52,68,0,0,0
LeTourneau University,26,24,22,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,444,53,21,32,52,39,13,329,207,122,4,3,1,2,2,0,4,3,1
Lubbock Christian University,31,31,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,31,29,2,5,5,0,267,263,4,0,0,0,2,2,0,2,1,1
College of the Mainland,50,43,26,17,3,2,1,1,1,0,3,1,2,0,0,0,0,0,0,76,64,4,60,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0
University of Mary Hardin-Baylor,33,32,21,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1424,437,240,197,71,41,30,107,66,41,28,17,11,5,3,2,775,444,331
McLennan Community College,105,91,37,54,8,4,4,5,4,1,1,1,0,0,0,0,0,0,0,193,10,1,9,41,2,39,65,3,62,77,25,52,0,0,0,0,0,0
McMurry University,41,40,27,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,906,720,332,388,45,19,26,115,59,56,2,1,1,13,5,8,0,0,0
Midwestern State University,97,87,65,22,2,1,1,6,4,2,0,0,0,2,0,2,0,0,0,2255,1183,420,763,451,121,330,502,176,326,73,33,40,2,2,0,0,0,0
University of North Texas,455,396,310,86,13,6,7,16,12,4,19,17,2,3,2,1,8,8,0,3471,3091,1208,1883,182,70,112,103,42,61,28,12,16,45,9,36,0,0,0
Odessa College,19,18,15,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,619,197,166,31,53,36,17,351,284,67,15,12,3,2,2,0,1,1,0
Our Lady of the Lake University,32,27,16,11,0,0,0,4,2,2,1,1,0,0,0,0,0,0,0,1902,1628,736,892,72,43,29,134,74,60,12,6,6,7,4,3,45,27,18
The University of Texas Rio Grande Valley,192,131,105,26,3,2,1,41,26,15,12,11,1,1,1,0,1,0,1,4758,3659,1498,2161,722,442,280,324,199,125,16,9,7,15,9,6,3,1,2
Texas Southmost College,128,74,39,35,3,1,2,46,27,19,3,2,1,0,0,0,0,0,0,2694,2183,954,1229,139,56,83,248,104,144,23,14,9,17,6,11,5,5,0
Paris Junior College,19,17,7,10,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1953,946,314,632,357,81,276,278,84,194,280,87,193,0,0,0,6,3,3
Paul Quinn College,9,2,2,0,4,3,1,0,0,0,3,3,0,0,0,0,0,0,0,4128,2750,916,1834,321,133,188,633,216,417,273,137,136,16,9,7,0,0,0
Prairie View A & M University,89,11,8,3,61,41,20,2,2,0,14,14,0,0,0,0,0,0,0,38175,10555,4709,5846,8967,2723,6244,9524,3708,5816,4532,2139,2393,93,37,56,736,333,403
Ranger College,12,11,8,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9643,2384,1094,1290,2638,860,1778,3305,1296,2009,953,500,453,18,7,11,0,0,0
Rice University,325,282,229,53,5,4,1,11,10,1,13,12,1,0,0,0,0,0,0,893,609,162,447,68,17,51,162,46,116,43,14,29,2,1,1,0,0,0
Saint Edward's University,71,66,37,29,2,2,0,2,1,1,0,0,0,1,1,0,0,0,0,25230,9630,4804,4826,3854,1469,2385,5054,2281,2773,5131,2541,2590,113,52,61,422,219,203
St Philip's College,113,65,37,28,20,10,10,24,14,10,2,1,1,2,1,1,0,0,0,2489,1643,670,973,112,56,56,690,257,433,14,6,8,8,6,2,21,12,9
University of St Thomas,74,67,43,24,1,1,0,3,1,2,1,1,0,0,0,0,1,1,0,1521,1048,492,556,114,91,23,158,87,71,28,16,12,3,0,3,170,92,78
Sam Houston State University,232,213,150,63,0,0,0,8,4,4,10,6,4,1,1,0,0,0,0,618,47,21,26,455,179,276,58,37,21,51,37,14,0,0,0,7,6,1
San Antonio College,312,230,140,90,11,4,7,65,38,27,3,2,1,2,2,0,1,1,0,3519,942,319,623,195,62,133,1840,540,1300,55,18,37,19,4,15,215,118,97
Schreiner University,15,14,11,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,546,26,4,22,13,2,11,500,105,395,0,0,0,3,2,1,4,0,4
St. Mary's University,116,96,69,27,4,4,0,16,11,5,0,0,0,0,0,0,0,0,0,228,3,0,3,1,0,1,223,41,182,1,0,1,0,0,0,0,0,0
South Plains College,143,139,76,63,2,0,2,1,0,1,0,0,0,1,1,0,0,0,0,259,162,66,96,73,30,43,7,3,4,2,0,2,0,0,0,0,0,0
South Texas College of Law Houston,32,28,21,7,2,0,2,2,1,1,0,0,0,0,0,0,0,0,0,571,7,4,3,539,221,318,5,2,3,0,0,0,0,0,0,1,0,1
Southern Methodist University,308,275,223,52,5,3,2,7,6,1,21,19,2,0,0,0,0,0,0,151,85,46,39,37,14,23,22,12,10,4,0,4,1,1,0,1,1,0
Southwest Texas Junior College,30,23,13,10,0,0,0,6,4,2,0,0,0,1,0,1,0,0,0,4193,3319,1303,2016,577,191,386,143,57,86,13,7,6,5,4,1,0,0,0
Southwestern Assemblies of God University,16,15,8,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10271,7099,3409,3690,2276,716,1560,481,229,252,310,149,161,39,18,21,6,1,5
Southwestern University,64,57,37,20,0,0,0,4,2,2,3,2,1,0,0,0,0,0,0,2020,1661,505,1156,266,47,219,46,9,37,15,5,10,6,3,3,24,5,19
Stephen F Austin State University,220,212,154,58,2,1,1,3,1,2,2,2,0,1,1,0,0,0,0,2323,1327,499,828,648,148,500,191,78,113,149,69,80,8,2,6,0,0,0
Texas State University,405,353,243,110,9,5,4,22,14,8,15,11,4,2,2,0,3,3,0,136,2,0,2,0,0,0,133,0,133,0,0,0,0,0,0,0,0,0
Southwestern Adventist University,22,19,13,6,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,7493,144,63,81,11,6,5,6991,2878,4113,22,9,13,9,4,5,22,15,7
Southwestern Christian College,4,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2609,78,30,48,9,4,5,2441,867,1574,6,1,5,2,1,1,0,0,0
Sul Ross State University,57,53,42,11,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,6336,2697,1359,1338,1365,822,543,2012,1120,892,175,97,78,8,4,4,0,0,0
Tarleton State University,96,87,65,22,1,1,0,3,3,0,4,3,1,1,1,0,0,0,0,2807,2015,1171,844,461,106,355,151,61,90,32,13,19,17,4,13,75,31,44
Tarrant County College District,257,219,111,108,22,10,12,9,4,5,3,3,0,4,0,4,0,0,0,468,179,167,12,104,98,6,165,154,11,9,8,1,0,0,0,11,9,2
Temple College,43,38,19,19,1,0,1,4,2,2,0,0,0,0,0,0,0,0,0,1701,1389,606,783,85,26,59,177,72,105,7,4,3,6,4,2,0,0,0
University of Texas Southwestern Medical Center,237,209,186,23,1,1,0,9,8,1,18,15,3,0,0,0,0,0,0,3346,2049,826,1223,626,195,431,552,204,348,49,25,24,33,10,23,22,11,11
The University of Texas Health Science Center at San Antonio,371,308,235,73,9,7,2,20,16,4,34,26,8,0,0,0,0,0,0,2434,1856,623,1233,263,128,135,236,95,141,41,16,25,15,5,10,0,0,0
The University of Texas Medical Branch at Galveston,271,210,158,52,7,4,3,12,10,2,40,29,11,0,0,0,0,0,0,6133,4220,1551,2669,991,212,779,799,241,558,61,27,34,28,12,16,0,0,0
Texarkana College,88,82,41,41,2,2,0,4,2,2,0,0,0,0,0,0,0,0,0,1378,1020,481,539,114,69,45,182,95,87,20,8,12,18,10,8,11,3,8
Texas A & M University-Kingsville,143,109,88,21,3,3,0,16,9,7,12,12,0,3,2,1,0,0,0,241,179,29,150,11,3,8,48,7,41,3,1,2,0,0,0,0,0,0
Texas A & M University-College Station,1081,930,791,139,17,11,6,45,38,7,74,69,5,1,1,0,0,0,0,5067,3306,1433,1873,238,84,154,1361,579,782,70,39,31,24,13,11,38,15,23
