name,tenured_total,ind_tenured,ind_men_tenured,ind_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,pi_tenured,pi_men_tenured,pi_women_tenured,white_tenured,white_men_tenured,white_women_tenured,multi_tenured,multi_men_tenured,multi_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,ind_student,ind_men_student,ind_women_student,asian_student,asian_men_student,asian_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,pi_student,pi_men_student,pi_women_student,white_student,white_men_student,white_women_student,multi_student,multi_men_student,multi_women_student,unknown_student,unknown_men_student,unknown_women_student
ABC Beauty Academy,,,,,,,,,,,,,,,,,,,,,,,,,,35,0,0,0,23,2,21,2,0,2,9,0,9,0,0,0,1,0,1,0,0,0,0,0,0
Abilene Christian University,131,0,0,0,2,1,1,5,4,1,4,2,2,0,0,0,116,89,27,4,3,1,0,0,0,3727,14,7,7,43,13,30,278,142,136,447,186,261,2,1,1,2626,1098,1528,138,53,85,20,12,8
Academy of Hair Design-Beaumont,,,,,,,,,,,,,,,,,,,,,,,,,,86,0,0,0,7,0,7,30,2,28,8,0,8,0,0,0,41,3,38,0,0,0,0,0,0
Academy of Hair Design-Jasper,,,,,,,,,,,,,,,,,,,,,,,,,,57,0,0,0,0,0,0,26,1,25,6,0,6,0,0,0,25,4,21,0,0,0,0,0,0
Academy of Hair Design-Lufkin,,,,,,,,,,,,,,,,,,,,,,,,,,99,0,0,0,2,0,2,32,17,15,18,5,13,0,0,0,47,11,36,0,0,0,0,0,0
Advanced Barber College and Hair Design,,,,,,,,,,,,,,,,,,,,,,,,,,164,0,0,0,0,0,0,0,0,0,160,74,86,0,0,0,2,2,0,0,0,0,2,2,0
Advanced Beauty College,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,0,0,31,1,30,2,0,2,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0
Alamo City Barber College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamo Community College District Central Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allgood Beauty Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altierus Career College-Bissonnet,,,,,,,,,,,,,,,,,,,,,,,,,,934,1,1,0,22,15,7,539,292,247,257,118,139,0,0,0,77,47,30,18,12,6,20,10,10
Alvin Community College,70,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,67,34,33,0,0,0,0,0,0,5118,26,13,13,252,113,139,536,208,328,1517,637,880,19,13,6,2658,1112,1546,0,0,0,110,46,64
Amarillo College,69,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,64,27,37,0,0,0,2,2,0,10873,144,62,82,321,143,178,530,216,314,3890,1439,2451,0,0,0,5866,2336,3530,1,1,0,121,45,76
Amberton University,,,,,,,,,,,,,,,,,,,,,,,,,,261,1,1,0,24,10,14,82,33,49,23,8,15,2,1,1,125,48,77,0,0,0,4,1,3
American College of Acupuncture and Oriental Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American InterContinental University-Houston,,,,,,,,,,,,,,,,,,,,,,,,,,463,0,0,0,9,6,3,134,57,77,43,12,31,2,2,0,15,6,9,3,1,2,257,106,151
Angelina College,,,,,,,,,,,,,,,,,,,,,,,,,,5490,35,14,21,60,26,34,814,240,574,991,378,613,8,3,5,3420,1278,2142,157,54,103,1,0,1
Angelo State University,117,5,2,3,4,3,1,1,1,0,7,3,4,0,0,0,100,69,31,0,0,0,0,0,0,5473,26,10,16,57,25,32,444,232,212,1662,712,950,4,3,1,2976,1424,1552,123,54,69,25,11,14
Ann Webb Skin Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
